GIORNO;ORA;P_ Salute Liv_ idrom_ medio 1m (GRE) m
01/01/23   ;01:00;0.21
01/01/23   ;02:00;0.31
01/01/23   ;03:00;0.41
01/01/23   ;04:00;0.5
01/01/23   ;05:00;0.57
01/01/23   ;06:00;0.6
01/01/23   ;07:00;0.6
01/01/23   ;08:00;0.53
01/01/23   ;09:00;0.39
01/01/23   ;10:00;0.26
01/01/23   ;11:00;0.12
01/01/23   ;12:00;0
01/01/23   ;13:00;-0.09
01/01/23   ;14:00;-0.13
01/01/23   ;15:00;-0.1
01/01/23   ;16:00;-0.03
01/01/23   ;17:00;0.08
01/01/23   ;18:00;0.18
01/01/23   ;19:00;0.25
01/01/23   ;20:00;0.28
01/01/23   ;21:00;0.28
01/01/23   ;22:00;0.26
01/01/23   ;23:00;0.21
02/01/23   ;00:00;0.17
02/01/23   ;01:00;0.17
02/01/23   ;02:00;0.21
02/01/23   ;03:00;0.3
02/01/23   ;04:00;0.4
02/01/23   ;05:00;0.49
02/01/23   ;06:00;0.55
02/01/23   ;07:00;0.57
02/01/23   ;08:00;0.54
02/01/23   ;09:00;0.45
02/01/23   ;10:00;0.32
02/01/23   ;11:00;0.18
02/01/23   ;12:00;0.03
02/01/23   ;13:00;-0.09
02/01/23   ;14:00;-0.18
02/01/23   ;15:00;-0.21
02/01/23   ;16:00;-0.16
02/01/23   ;17:00;-0.05
02/01/23   ;18:00;0.1
02/01/23   ;19:00;0.23
02/01/23   ;20:00;0.32
02/01/23   ;21:00;0.37
02/01/23   ;22:00;0.35
02/01/23   ;23:00;0.29
03/01/23   ;00:00;0.22
03/01/23   ;01:00;0.17
03/01/23   ;02:00;0.17
03/01/23   ;03:00;0.22
03/01/23   ;04:00;0.31
03/01/23   ;05:00;0.41
03/01/23   ;06:00;0.5
03/01/23   ;07:00;0.56
03/01/23   ;08:00;0.58
03/01/23   ;09:00;0.53
03/01/23   ;10:00;0.42
03/01/23   ;11:00;0.27
03/01/23   ;12:00;0.1
03/01/23   ;13:00;-0.05
03/01/23   ;14:00;-0.2
03/01/23   ;15:00;-0.28
03/01/23   ;16:00;-0.28
03/01/23   ;17:00;-0.16
03/01/23   ;18:00;0.01
03/01/23   ;19:00;0.16
03/01/23   ;20:00;0.29
03/01/23   ;21:00;0.38
03/01/23   ;22:00;0.41
03/01/23   ;23:00;0.36
04/01/23   ;00:00;0.28
04/01/23   ;01:00;0.19
04/01/23   ;02:00;0.14
04/01/23   ;03:00;0.14
04/01/23   ;04:00;0.2
04/01/23   ;05:00;0.3
04/01/23   ;06:00;0.4
04/01/23   ;07:00;0.5
04/01/23   ;08:00;0.55
04/01/23   ;09:00;0.53
04/01/23   ;10:00;0.45
04/01/23   ;11:00;0.3
04/01/23   ;12:00;0.13
04/01/23   ;13:00;-0.06
04/01/23   ;14:00;-0.21
04/01/23   ;15:00;-0.33
04/01/23   ;16:00;-0.37
04/01/23   ;17:00;-0.31
04/01/23   ;18:00;-0.14
04/01/23   ;19:00;0.05
04/01/23   ;20:00;0.21
04/01/23   ;21:00;0.33
04/01/23   ;22:00;0.41
04/01/23   ;23:00;0.42
05/01/23   ;00:00;0.37
05/01/23   ;01:00;0.28
05/01/23   ;02:00;0.19
05/01/23   ;03:00;0.15
05/01/23   ;04:00;0.16
05/01/23   ;05:00;0.25
05/01/23   ;06:00;0.39
05/01/23   ;07:00;0.5
05/01/23   ;08:00;0.59
05/01/23   ;09:00;0.63
05/01/23   ;10:00;0.59
05/01/23   ;11:00;0.46
05/01/23   ;12:00;0.3
05/01/23   ;13:00;0.11
05/01/23   ;14:00;-0.08
05/01/23   ;15:00;-0.23
05/01/23   ;16:00;-0.32
05/01/23   ;17:00;-0.32
05/01/23   ;18:00;-0.19
05/01/23   ;19:00;-0.01
05/01/23   ;20:00;0.17
05/01/23   ;21:00;0.32
05/01/23   ;22:00;0.43
05/01/23   ;23:00;0.47
06/01/23   ;00:00;0.46
06/01/23   ;01:00;0.36
06/01/23   ;02:00;0.25
06/01/23   ;03:00;0.16
06/01/23   ;04:00;0.13
06/01/23   ;05:00;0.17
06/01/23   ;06:00;0.27
06/01/23   ;07:00;0.4
06/01/23   ;08:00;0.51
06/01/23   ;09:00;0.58
06/01/23   ;10:00;0.59
06/01/23   ;11:00;0.52
06/01/23   ;12:00;0.36
06/01/23   ;13:00;0.18
06/01/23   ;14:00;-0.02
06/01/23   ;15:00;-0.2
06/01/23   ;16:00;-0.34
06/01/23   ;17:00;-0.39
06/01/23   ;18:00;-0.31
06/01/23   ;19:00;-0.13
06/01/23   ;20:00;0.07
06/01/23   ;21:00;0.25
06/01/23   ;22:00;0.38
06/01/23   ;23:00;0.46
07/01/23   ;00:00;0.48
07/01/23   ;01:00;0.42
07/01/23   ;02:00;0.3
07/01/23   ;03:00;0.18
07/01/23   ;04:00;0.11
07/01/23   ;05:00;0.11
07/01/23   ;06:00;0.17
07/01/23   ;07:00;0.3
07/01/23   ;08:00;0.44
07/01/23   ;09:00;0.54
07/01/23   ;10:00;0.6
07/01/23   ;11:00;0.58
07/01/23   ;12:00;0.46
07/01/23   ;13:00;0.28
07/01/23   ;14:00;0.08
07/01/23   ;15:00;-0.11
07/01/23   ;16:00;-0.27
07/01/23   ;17:00;-0.36
07/01/23   ;18:00;-0.34
07/01/23   ;19:00;-0.2
07/01/23   ;20:00;0
07/01/23   ;21:00;0.19
07/01/23   ;22:00;0.34
07/01/23   ;23:00;0.46
08/01/23   ;00:00;0.52
08/01/23   ;01:00;0.5
08/01/23   ;02:00;0.41
08/01/23   ;03:00;0.29
08/01/23   ;04:00;0.2
08/01/23   ;05:00;0.16
08/01/23   ;06:00;0.2
08/01/23   ;07:00;0.32
08/01/23   ;08:00;0.44
08/01/23   ;09:00;0.55
08/01/23   ;10:00;0.64
08/01/23   ;11:00;0.66
08/01/23   ;12:00;0.58
08/01/23   ;13:00;0.43
08/01/23   ;14:00;0.25
08/01/23   ;15:00;0.05
08/01/23   ;16:00;-0.12
08/01/23   ;17:00;-0.25
08/01/23   ;18:00;-0.28
08/01/23   ;19:00;-0.17
08/01/23   ;20:00;0.04
08/01/23   ;21:00;0.25
08/01/23   ;22:00;0.44
08/01/23   ;23:00;0.61
09/01/23   ;00:00;0.75
09/01/23   ;01:00;0.85
09/01/23   ;02:00;0.83
09/01/23   ;03:00;0.75
09/01/23   ;04:00;0.65
09/01/23   ;05:00;0.55
09/01/23   ;06:00;0.5
09/01/23   ;07:00;0.54
09/01/23   ;08:00;0.66
09/01/23   ;09:00;0.79
09/01/23   ;10:00;0.87
09/01/23   ;11:00;0.91
09/01/23   ;12:00;0.91
09/01/23   ;13:00;0.78
09/01/23   ;14:00;0.61
09/01/23   ;15:00;0.39
09/01/23   ;16:00;0.21
09/01/23   ;17:00;0.04
09/01/23   ;18:00;-0.1
09/01/23   ;19:00;-0.11
09/01/23   ;20:00;-0.04
09/01/23   ;21:00;0.16
09/01/23   ;22:00;0.29
09/01/23   ;23:00;0.42
10/01/23   ;00:00;0.55
10/01/23   ;01:00;0.63
10/01/23   ;02:00;0.61
10/01/23   ;03:00;0.51
10/01/23   ;04:00;0.39
10/01/23   ;05:00;0.29
10/01/23   ;06:00;0.2
10/01/23   ;07:00;0.2
10/01/23   ;08:00;0.31
10/01/23   ;09:00;0.42
10/01/23   ;10:00;0.53
10/01/23   ;11:00;0.61
10/01/23   ;12:00;0.64
10/01/23   ;13:00;0.57
10/01/23   ;14:00;0.44
10/01/23   ;15:00;0.28
10/01/23   ;16:00;0.12
10/01/23   ;17:00;-0.02
10/01/23   ;18:00;-0.12
10/01/23   ;19:00;-0.17
10/01/23   ;20:00;-0.13
10/01/23   ;21:00;-0.01
10/01/23   ;22:00;0.14
10/01/23   ;23:00;0.3
11/01/23   ;00:00;0.4
11/01/23   ;01:00;0.48
11/01/23   ;02:00;0.51
11/01/23   ;03:00;0.47
11/01/23   ;04:00;0.39
11/01/23   ;05:00;0.3
11/01/23   ;06:00;0.23
11/01/23   ;07:00;0.2
11/01/23   ;08:00;0.23
11/01/23   ;09:00;0.3
11/01/23   ;10:00;0.43
11/01/23   ;11:00;0.53
11/01/23   ;12:00;0.6
11/01/23   ;13:00;0.61
11/01/23   ;14:00;0.53
11/01/23   ;15:00;0.39
11/01/23   ;16:00;0.21
11/01/23   ;17:00;0.04
11/01/23   ;18:00;-0.11
11/01/23   ;19:00;-0.2
11/01/23   ;20:00;-0.23
11/01/23   ;21:00;-0.12
11/01/23   ;22:00;0.05
11/01/23   ;23:00;0.23
12/01/23   ;00:00;0.38
12/01/23   ;01:00;0.5
12/01/23   ;02:00;0.59
12/01/23   ;03:00;0.6
12/01/23   ;04:00;0.53
12/01/23   ;05:00;0.4
12/01/23   ;06:00;0.3
12/01/23   ;07:00;0.23
12/01/23   ;08:00;0.21
12/01/23   ;09:00;0.26
12/01/23   ;10:00;0.34
12/01/23   ;11:00;0.43
12/01/23   ;12:00;0.47
12/01/23   ;13:00;0.47
12/01/23   ;14:00;0.38
12/01/23   ;15:00;0.24
12/01/23   ;16:00;0.09
12/01/23   ;17:00;-0.05
12/01/23   ;18:00;-0.17
12/01/23   ;19:00;-0.25
12/01/23   ;20:00;-0.22
12/01/23   ;21:00;-0.08
12/01/23   ;22:00;0.08
12/01/23   ;23:00;0.27
13/01/23   ;00:00;0.44
13/01/23   ;01:00;0.57
13/01/23   ;02:00;0.65
13/01/23   ;03:00;0.67
13/01/23   ;04:00;0.62
13/01/23   ;05:00;0.51
13/01/23   ;06:00;0.41
13/01/23   ;07:00;0.34
13/01/23   ;08:00;0.3
13/01/23   ;09:00;0.3
13/01/23   ;10:00;0.33
13/01/23   ;11:00;0.38
13/01/23   ;12:00;0.41
13/01/23   ;13:00;0.39
13/01/23   ;14:00;0.33
13/01/23   ;15:00;0.24
13/01/23   ;16:00;0.12
13/01/23   ;17:00;0.03
13/01/23   ;18:00;-0.05
13/01/23   ;19:00;-0.07
13/01/23   ;20:00;-0.04
13/01/23   ;21:00;0.03
13/01/23   ;22:00;0.17
13/01/23   ;23:00;0.31
14/01/23   ;00:00;0.42
14/01/23   ;01:00;0.52
14/01/23   ;02:00;0.6
14/01/23   ;03:00;0.64
14/01/23   ;04:00;0.63
14/01/23   ;05:00;0.55
14/01/23   ;06:00;0.44
14/01/23   ;07:00;0.32
14/01/23   ;08:00;0.23
14/01/23   ;09:00;0.17
14/01/23   ;10:00;0.12
14/01/23   ;11:00;0.12
14/01/23   ;12:00;0.15
14/01/23   ;13:00;0.17
14/01/23   ;14:00;0.16
14/01/23   ;15:00;0.14
14/01/23   ;16:00;0.13
14/01/23   ;17:00;0.11
14/01/23   ;18:00;0.12
14/01/23   ;19:00;0.14
14/01/23   ;20:00;0.15
14/01/23   ;21:00;0.18
14/01/23   ;22:00;0.23
14/01/23   ;23:00;0.29
15/01/23   ;00:00;0.39
15/01/23   ;01:00;0.5
15/01/23   ;02:00;0.58
15/01/23   ;03:00;0.65
15/01/23   ;04:00;0.68
15/01/23   ;05:00;0.65
15/01/23   ;06:00;0.57
15/01/23   ;07:00;0.45
15/01/23   ;08:00;0.33
15/01/23   ;09:00;0.22
15/01/23   ;10:00;0.14
15/01/23   ;11:00;0.09
15/01/23   ;12:00;0.09
15/01/23   ;13:00;0.14
15/01/23   ;14:00;0.2
15/01/23   ;15:00;0.27
15/01/23   ;16:00;0.33
15/01/23   ;17:00;0.36
15/01/23   ;18:00;0.38
15/01/23   ;19:00;0.37
15/01/23   ;20:00;0.37
15/01/23   ;21:00;0.39
15/01/23   ;22:00;0.41
15/01/23   ;23:00;0.43
16/01/23   ;00:00;0.5
16/01/23   ;01:00;0.58
16/01/23   ;02:00;0.69
